records,violations,alerts,tp,fp,fn,precision_alert,recall_alert,f1_alert,auc_risk,brier_risk,actionable_alerts,actionable_rate_over_alerts,lead_time_mean,lead_time_p50,lead_time_p90,horizon_minutes
51991550,8042609,11564699,7148371,4416328,894238,0.6181199355037256,0.8888124487961556,0.7291537420639284,0.9658313218029367,0.07387394645803433,7148371,0.6181199355037256,14.815173974602045,10.0,30.0,-1
17330950,2680871,2831870,2139970,691900,540901,0.7556738127103292,0.7982368416831694,0.7763724071201604,0.9676859977810213,0.06706190995021083,2139970,0.7556738127103292,3.0,3.0,3.0,3
17330950,2680871,4253410,2538379,1715031,142492,0.5967868134038337,0.9468486174829002,0.7321246427711827,0.9756850126832717,0.08051467539167205,2538379,0.5967868134038337,10.0,10.0,10.0,10
17329650,2680867,4479419,2470022,2009397,210845,0.5514157081532225,0.9213519357730167,0.6899227209639391,0.9600950199644233,0.07404526688301898,2470022,0.5514157081532225,30.0,30.0,30.0,30
